PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Pacman_Planner2;incremental_dlv2;20;0,211133;172584;4092
Pacman_Planner2;incremental_dlv2;21;0,215694;169888;4090
Pacman_Planner2;incremental_dlv2;22;0,222861;179284;4090
Pacman_Planner2;incremental_dlv2;23;0,233394;176532;4090
Pacman_Planner2;incremental_dlv2;24;0,241035;179772;4090
Pacman_Planner2;incremental_dlv2;25;0,213274;179856;4090
Pacman_Planner2;incremental_dlv2;26;0,214852;179856;4090
Pacman_Planner2;incremental_dlv2;27;0,238309;179568;4090
Pacman_Planner2;incremental_dlv2;28;0,241057;181164;4090
Pacman_Planner2;incremental_dlv2;29;0,246723;182024;4088
Pacman_Planner2;incremental_dlv2;30;0,221721;182032;4082
Pacman_Planner2;incremental_dlv2;31;0,241827;183104;4080
Pacman_Planner2;incremental_dlv2;32;0,254526;183568;4072
Pacman_Planner2;incremental_dlv2;33;0,253259;184152;4064
Pacman_Planner2;incremental_dlv2;34;0,234231;184160;4064
Pacman_Planner2;incremental_dlv2;35;0,25742;193068;4064
Pacman_Planner2;incremental_dlv2;36;0,253346;195936;4052
Pacman_Planner2;incremental_dlv2;37;0,270773;200376;4046
Pacman_Planner2;incremental_dlv2;38;0,329977;210280;4038
Pacman_Planner2;incremental_dlv2;39;0,337002;213004;4030
Pacman_Planner2;incremental_dlv2;40;0,310071;211340;4022
Pacman_Planner2;incremental_dlv2;41;0,371049;241456;4004
Pacman_Planner2;incremental_dlv2;42;0,369276;240312;3988
Pacman_Planner2;incremental_dlv2;43;0,381199;244948;3980
Pacman_Planner2;incremental_dlv2;44;0,39989;267004;3970
Pacman_Planner2;incremental_dlv2;45;0,397226;268012;3960
Pacman_Planner2;incremental_dlv2;46;0,373902;271100;3952
Pacman_Planner2;incremental_dlv2;47;0,402673;270116;3950
Pacman_Planner2;incremental_dlv2;48;0,378443;263724;3950
Pacman_Planner2;incremental_dlv2;49;0,412587;267436;3940
Pacman_Planner2;incremental_dlv2;50;0,425801;276224;3932
Pacman_Planner2;incremental_dlv2;51;0,437756;280236;3932
Pacman_Planner2;incremental_dlv2;52;0,406204;279988;3932
Pacman_Planner2;incremental_dlv2;53;0,407597;280248;3932
Pacman_Planner2;incremental_dlv2;54;0,444355;284212;3932
Pacman_Planner2;incremental_dlv2;55;0,445267;282036;3932
Pacman_Planner3;incremental_dlv2;0;0,072176;29372;4160
Pacman_Planner3;incremental_dlv2;1;0,025703;30344;4160
Pacman_Planner3;incremental_dlv2;2;0,026643;32332;4160
Pacman_Planner3;incremental_dlv2;3;0,026261;31920;4160
Pacman_Planner3;incremental_dlv2;4;0,026613;31920;4160
Pacman_Planner3;incremental_dlv2;5;0,026918;31920;4158
Pacman_Planner3;incremental_dlv2;6;0,027643;30452;4156
Pacman_Planner3;incremental_dlv2;7;0,028057;30472;4154
Pacman_Planner3;incremental_dlv2;8;0,027331;32084;4152
Pacman_Planner3;incremental_dlv2;9;0,028534;32968;4150
Pacman_Planner3;incremental_dlv2;10;0,026818;31476;4148
Pacman_Planner3;incremental_dlv2;11;0,02826;31460;4146
Pacman_Planner3;incremental_dlv2;12;0,027998;31508;4142
Pacman_Planner3;incremental_dlv2;13;0,032066;31528;4140
Pacman_Planner3;incremental_dlv2;14;0,032432;31620;4138
Pacman_Planner3;incremental_dlv2;15;0,033554;31812;4136
Pacman_Planner3;incremental_dlv2;16;0,036608;31940;4136
Pacman_Planner3;incremental_dlv2;17;0,032033;31940;4134
Pacman_Planner3;incremental_dlv2;18;0,035848;32220;4132
Pacman_Planner3;incremental_dlv2;19;0,029998;32220;4132
Pacman_Planner3;incremental_dlv2;20;0,035545;34728;4130
Pacman_Planner3;incremental_dlv2;21;0,037122;32648;4130
Pacman_Planner3;incremental_dlv2;22;0,036031;32976;4130
Pacman_Planner3;incremental_dlv2;23;0,031608;33164;4126
Pacman_Planner3;incremental_dlv2;24;0,033317;33164;4124
Pacman_Planner3;incremental_dlv2;25;0,034134;33164;4124
Pacman_Planner3;incremental_dlv2;26;0,035437;33164;4124
Pacman_Planner3;incremental_dlv2;27;0,031619;34764;4122
Pacman_Planner3;incremental_dlv2;28;0,035089;33464;4118
Pacman_Planner3;incremental_dlv2;29;0,036176;33876;4118
Pacman_Planner3;incremental_dlv2;30;0,032504;33976;4116
Pacman_Planner3;incremental_dlv2;31;0,033104;34136;4116
Pacman_Planner3;incremental_dlv2;32;0,032141;34032;4114
Pacman_Planner3;incremental_dlv2;33;0,032304;34128;4114
Pacman_Planner3;incremental_dlv2;34;0,034242;34144;4114
Pacman_Planner3;incremental_dlv2;35;0,035727;34160;4112
Pacman_Planner3;incremental_dlv2;36;0,035883;34224;4110
Pacman_Planner3;incremental_dlv2;37;0,036121;36664;4108
Pacman_Planner3;incremental_dlv2;38;0,03597;34700;4108
Pacman_Planner3;incremental_dlv2;39;0,032566;34488;4106
Pacman_Planner3;incremental_dlv2;40;0,032454;34808;4104
