PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Pacman_Planner3;incremental_dlv2;6;0,026618;31872;4158
Pacman_Planner3;incremental_dlv2;7;0,032481;30464;4156
Pacman_Planner3;incremental_dlv2;8;0,030593;29484;4154
Pacman_Planner3;incremental_dlv2;9;0,029061;32100;4152
Pacman_Planner3;incremental_dlv2;10;0,028765;32980;4150
Pacman_Planner3;incremental_dlv2;11;0,028495;31484;4148
Pacman_Planner3;incremental_dlv2;12;0,030865;31464;4146
Pacman_Planner3;incremental_dlv2;13;0,036964;31512;4142
Pacman_Planner3;incremental_dlv2;14;0,033911;31528;4140
Pacman_Planner3;incremental_dlv2;15;0,032687;31784;4138
Pacman_Planner3;incremental_dlv2;16;0,037205;31848;4136
Pacman_Planner3;incremental_dlv2;17;0,033779;31080;4136
Pacman_Planner3;incremental_dlv2;18;0,032171;31980;4134
Pacman_Planner3;incremental_dlv2;19;0,033776;32180;4132
Pacman_Planner3;incremental_dlv2;20;0,029579;32180;4132
Pacman_Planner3;incremental_dlv2;21;0,035716;32432;4130
Pacman_Planner3;incremental_dlv2;22;0,037154;33116;4130
Pacman_Planner3;incremental_dlv2;23;0,033358;32536;4130
Pacman_Planner3;incremental_dlv2;24;0,036898;32536;4126
Pacman_Planner3;incremental_dlv2;25;0,033977;33240;4124
Pacman_Planner3;incremental_dlv2;26;0,033101;33176;4124
Pacman_Planner3;incremental_dlv2;27;0,032749;33176;4124
Pacman_Planner3;incremental_dlv2;28;0,031736;34712;4122
Pacman_Planner3;incremental_dlv2;29;0,03386;33368;4118
Pacman_Planner3;incremental_dlv2;30;0,037437;33676;4118
Pacman_Planner3;incremental_dlv2;31;0,032897;33056;4116
Pacman_Planner3;incremental_dlv2;32;0,032506;33064;4116
Pacman_Planner3;incremental_dlv2;33;0,03295;33948;4114
Pacman_Planner3;incremental_dlv2;34;0,034249;33100;4114
Pacman_Planner3;incremental_dlv2;35;0,033286;35504;4114
Pacman_Planner3;incremental_dlv2;36;0,032868;33148;4112
Pacman_Planner3;incremental_dlv2;37;0,03782;34256;4110
Pacman_Planner3;incremental_dlv2;38;0,039687;34544;4108
Pacman_Planner3;incremental_dlv2;39;0,038973;34632;4108
Pacman_Planner3;incremental_dlv2;40;0,033759;36980;4106
Pacman_Planner3;incremental_dlv2;41;0,034112;34804;4104
Pacman_Planner3;incremental_dlv2;42;0,036527;34804;4102
Pacman_Planner3;incremental_dlv2;43;0,038697;36916;4100
Pacman_Planner3;incremental_dlv2;44;0,034588;34740;4098
Pacman_Planner3;incremental_dlv2;45;0,044689;36404;4096
Pacman_Planner3;incremental_dlv2;46;0,039321;35060;4094
Pacman_Planner3;incremental_dlv2;47;0,034762;35076;4092
Pacman_Planner3;incremental_dlv2;48;0,035742;34100;4090
Pacman_Planner3;incremental_dlv2;49;0,032918;34104;4088
Pacman_Planner3;incremental_dlv2;50;0,037476;35140;4086
Pacman_Planner3;incremental_dlv2;51;0,03528;35124;4084
Pacman_Planner3;incremental_dlv2;52;0,034954;34180;4082
Pacman_Planner3;incremental_dlv2;53;0,040069;35276;4080
Pacman_Planner3;incremental_dlv2;54;0,040191;36992;4078
Pacman_Planner3;incremental_dlv2;55;0,039906;38144;4076
Pacman_Planner3;incremental_dlv2;56;0,040745;38612;4074
Pacman_Planner3;incremental_dlv2;57;0,04021;37028;4072
Pacman_Planner3;incremental_dlv2;58;0,039899;37372;4070
Pacman_Planner3;incremental_dlv2;59;0,041509;40028;4068
Pacman_Planner3;incremental_dlv2;60;0,038795;38092;4066
Pacman_Planner3;incremental_dlv2;61;0,038792;38348;4064
Pacman_Planner3;incremental_dlv2;62;0,040472;38440;4062
Pacman_Planner3;incremental_dlv2;63;0,041908;40952;4060
Pacman_Planner3;incremental_dlv2;64;0,046623;40364;4058
Pacman_Planner3;incremental_dlv2;65;0,039345;41268;4058
Pacman_Planner3;incremental_dlv2;66;0,03938;39368;4058
Pacman_Planner3;incremental_dlv2;67;0,039823;41760;4056
Pacman_Planner3;incremental_dlv2;68;0,039445;41788;4054
Pacman_Planner3;incremental_dlv2;69;0,038858;39648;4052
Pacman_Planner3;incremental_dlv2;70;0,03979;39540;4052
Pacman_Planner3;incremental_dlv2;71;0,041984;42088;4046
Pacman_Planner3;incremental_dlv2;72;0,03961;39180;4044
Pacman_Planner3;incremental_dlv2;73;0,042877;40220;4042
Space_Invaders_Planner1;incremental_dlv2;1;0,000622;6108;8
Space_Invaders_Planner1;incremental_dlv2;2;0,000741;6108;8
Space_Invaders_Planner1;incremental_dlv2;3;0,000558;6108;8
Space_Invaders_Planner1;incremental_dlv2;4;0,000536;6108;8
Space_Invaders_Planner1;incremental_dlv2;5;0,000631;6224;8
Space_Invaders_Planner1;incremental_dlv2;6;0,000829;6224;8
Space_Invaders_Planner1;incremental_dlv2;7;0,000639;6224;8
Space_Invaders_Planner1;incremental_dlv2;8;0,000674;6224;8
Space_Invaders_Planner1;incremental_dlv2;9;0,000668;6224;8
Space_Invaders_Planner1;incremental_dlv2;10;0,000765;6352;8
Space_Invaders_Planner1;incremental_dlv2;11;0,000674;6352;8
Space_Invaders_Planner1;incremental_dlv2;12;0,000877;6352;8
Space_Invaders_Planner1;incremental_dlv2;13;0,000853;6352;8
Space_Invaders_Planner1;incremental_dlv2;14;0,000716;6352;8
Space_Invaders_Planner1;incremental_dlv2;15;0,000723;6444;8
Space_Invaders_Planner1;incremental_dlv2;16;0,00075;6444;8
Space_Invaders_Planner1;incremental_dlv2;17;0,00096;6444;8
Space_Invaders_Planner1;incremental_dlv2;18;0,000937;6552;8
Space_Invaders_Planner1;incremental_dlv2;19;0,000893;6552;8
Space_Invaders_Planner1;incremental_dlv2;20;0,000861;6552;4
Space_Invaders_Planner1;incremental_dlv2;21;0,001011;6652;8
Space_Invaders_Planner1;incremental_dlv2;22;0,000872;6652;8
Space_Invaders_Planner1;incremental_dlv2;23;0,000927;6652;8
Space_Invaders_Planner1;incremental_dlv2;24;0,000991;6652;8
Space_Invaders_Planner1;incremental_dlv2;25;0,000945;6652;8
Space_Invaders_Planner1;incremental_dlv2;26;0,000979;6740;8
Space_Invaders_Planner1;incremental_dlv2;27;0,000999;6740;8
Space_Invaders_Planner1;incremental_dlv2;28;0,001087;6740;8
Space_Invaders_Planner1;incremental_dlv2;29;0,001009;6796;8
Space_Invaders_Planner1;incremental_dlv2;30;0,001084;6796;8
Space_Invaders_Planner1;incremental_dlv2;31;0,001138;6832;8
Space_Invaders_Planner1;incremental_dlv2;32;0,001137;6832;8
Space_Invaders_Planner1;incremental_dlv2;33;0,001289;6880;8
Space_Invaders_Planner1;incremental_dlv2;34;0,001185;6912;8
Space_Invaders_Planner1;incremental_dlv2;35;0,001137;6960;8
Space_Invaders_Planner1;incremental_dlv2;36;0,001213;6960;8
Space_Invaders_Planner1;incremental_dlv2;37;0,00129;7028;8
Space_Invaders_Planner1;incremental_dlv2;38;0,001332;7088;8
Space_Invaders_Planner1;incremental_dlv2;39;0,001117;7088;8
Space_Invaders_Planner1;incremental_dlv2;40;0,001333;7116;8
Space_Invaders_Planner1;incremental_dlv2;41;0,001393;7116;8
Space_Invaders_Planner1;incremental_dlv2;42;0,001291;7156;8
Space_Invaders_Planner2;incremental_dlv2;1;0,252991;26676;124
Space_Invaders_Planner2;incremental_dlv2;2;0,720902;31352;124
Space_Invaders_Planner2;incremental_dlv2;3;22,482961;2393252;124
Space_Invaders_Planner3;incremental_dlv2;1;1,164589;50132;60
Space_Invaders_Planner3;incremental_dlv2;2;11,093675;454920;63
Space_Invaders_Planner3;incremental_dlv2;3;30,182869;1306080;63
