PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Pacman_Planner3;dlv2;10;0,12;1012;4150
Pacman_Planner3;dlv2;11;0,12;1016;4148
Pacman_Planner3;dlv2;12;0,11;1012;4146
Pacman_Planner3;dlv2;13;0,12;1016;4142
Pacman_Planner3;dlv2;14;0,12;1012;4140
Pacman_Planner3;dlv2;15;0,12;1016;4138
Pacman_Planner3;dlv2;16;0,12;1012;4136
Pacman_Planner3;dlv2;17;0,11;1012;4136
Pacman_Planner3;dlv2;18;0,11;1016;4134
Pacman_Planner3;dlv2;19;0,12;1012;4132
Pacman_Planner3;dlv2;20;0,11;1012;4132
Pacman_Planner3;dlv2;21;0,11;1012;4130
Pacman_Planner3;dlv2;22;0,12;1012;4130
Pacman_Planner3;dlv2;23;0,11;1012;4130
Pacman_Planner3;dlv2;24;0,11;1016;4126
Pacman_Planner3;dlv2;25;0,12;1012;4124
Pacman_Planner3;dlv2;26;0,12;1012;4124
Pacman_Planner3;dlv2;27;0,12;1012;4124
Pacman_Planner3;dlv2;28;0,12;1012;4122
Pacman_Planner3;dlv2;29;0,12;1012;4118
Pacman_Planner3;dlv2;30;0,12;1016;4118
Pacman_Planner3;dlv2;31;0,11;1012;4116
Pacman_Planner3;dlv2;32;0,11;1016;4116
Pacman_Planner3;dlv2;33;0,12;1012;4114
Pacman_Planner3;dlv2;34;0,12;1016;4114
Pacman_Planner3;dlv2;35;0,12;1012;4114
Pacman_Planner3;dlv2;36;0,12;1016;4112
Pacman_Planner3;dlv2;37;0,11;1016;4110
Pacman_Planner3;dlv2;38;0,12;1012;4108
Pacman_Planner3;dlv2;39;0,11;1016;4108
Pacman_Planner3;dlv2;40;0,11;1012;4106
Pacman_Planner3;dlv2;41;0,11;1012;4104
Pacman_Planner3;dlv2;42;0,12;1016;4102
Pacman_Planner3;dlv2;43;0,12;1012;4100
Pacman_Planner3;dlv2;44;0,12;1012;4098
Pacman_Planner3;dlv2;45;0,12;1016;4096
Pacman_Planner3;dlv2;46;0,12;1016;4094
Pacman_Planner3;dlv2;47;0,11;1012;4092
Pacman_Planner3;dlv2;48;0,12;1012;4090
Pacman_Planner3;dlv2;49;0,12;1016;4088
Pacman_Planner3;dlv2;50;0,12;1012;4086
Pacman_Planner3;dlv2;51;0,12;1016;4084
Pacman_Planner3;dlv2;52;0,12;1012;4082
Pacman_Planner3;dlv2;53;0,13;1012;4080
Pacman_Planner3;dlv2;54;0,12;1016;4078
Pacman_Planner3;dlv2;55;0,12;1016;4076
Pacman_Planner3;dlv2;56;0,12;1016;4074
Pacman_Planner3;dlv2;57;0,12;1016;4072
Pacman_Planner3;dlv2;58;0,12;1012;4070
Pacman_Planner3;dlv2;59;0,12;1012;4068
Pacman_Planner3;dlv2;60;0,12;1012;4066
Pacman_Planner3;dlv2;61;0,11;1012;4064
Pacman_Planner3;dlv2;62;0,12;1016;4062
Pacman_Planner3;dlv2;63;0,11;1016;4060
Pacman_Planner3;dlv2;64;0,11;1012;4058
Pacman_Planner3;dlv2;65;0,12;1012;4058
Pacman_Planner3;dlv2;66;0,11;1016;4058
Pacman_Planner3;dlv2;67;0,11;1012;4056
Pacman_Planner3;dlv2;68;0,12;1012;4054
Pacman_Planner3;dlv2;69;0,12;1012;4052
Pacman_Planner3;dlv2;70;0,12;1012;4052
Pacman_Planner3;dlv2;71;0,12;1016;4046
Pacman_Planner3;dlv2;72;0,11;1012;4044
Pacman_Planner3;dlv2;73;0,12;1012;4042
Space_Invaders_Planner1;dlv2;1;0,03;1012;8
Space_Invaders_Planner1;dlv2;2;0,03;1016;8
Space_Invaders_Planner1;dlv2;3;0,03;1016;8
Space_Invaders_Planner1;dlv2;4;0,03;1012;8
Space_Invaders_Planner1;dlv2;5;0,03;1012;8
Space_Invaders_Planner1;dlv2;6;0,02;1012;8
Space_Invaders_Planner1;dlv2;7;0,03;1012;8
Space_Invaders_Planner1;dlv2;8;0,03;1016;8
Space_Invaders_Planner1;dlv2;9;0,03;1012;8
Space_Invaders_Planner1;dlv2;10;0,03;1012;8
Space_Invaders_Planner1;dlv2;11;0,03;1012;8
Space_Invaders_Planner1;dlv2;12;0,03;1016;8
Space_Invaders_Planner1;dlv2;13;0,03;1016;8
Space_Invaders_Planner1;dlv2;14;0,03;1016;8
Space_Invaders_Planner1;dlv2;15;0,03;1016;8
Space_Invaders_Planner1;dlv2;16;0,03;1016;8
Space_Invaders_Planner1;dlv2;17;0,03;1012;8
Space_Invaders_Planner1;dlv2;18;0,03;1012;8
Space_Invaders_Planner1;dlv2;19;0,03;1016;8
Space_Invaders_Planner1;dlv2;20;0,03;1012;4
Space_Invaders_Planner1;dlv2;21;0,03;1016;8
Space_Invaders_Planner1;dlv2;22;0,03;1016;8
Space_Invaders_Planner1;dlv2;23;0,03;1012;8
