ENCODING;ITERATION;SENSORS_NUMBER
Space_Invaders_Planner2;11;122
Space_Invaders_Planner2;12;122
Space_Invaders_Planner2;13;122
Space_Invaders_Planner2;14;122
Space_Invaders_Planner2;15;122
Space_Invaders_Planner2;16;122
Space_Invaders_Planner2;17;122
Space_Invaders_Planner2;18;122
Space_Invaders_Planner2;19;122
Space_Invaders_Planner2;20;122
Space_Invaders_Planner2;21;122
Space_Invaders_Planner2;22;125
Space_Invaders_Planner2;23;125
Space_Invaders_Planner2;24;125
Space_Invaders_Planner2;25;125
Space_Invaders_Planner2;26;125
Space_Invaders_Planner2;27;122
Space_Invaders_Planner2;28;120
Space_Invaders_Planner2;29;123
Space_Invaders_Planner2;30;123
Space_Invaders_Planner2;31;123
Space_Invaders_Planner2;32;123
Space_Invaders_Planner2;33;123
Space_Invaders_Planner2;34;121
Space_Invaders_Planner2;35;121
Space_Invaders_Planner2;36;118
Space_Invaders_Planner2;37;118
Space_Invaders_Planner2;38;121
Space_Invaders_Planner2;39;118
Space_Invaders_Planner2;40;118
Space_Invaders_Planner2;41;121
Space_Invaders_Planner2;42;118
Space_Invaders_Planner2;43;118
Space_Invaders_Planner2;44;121
Space_Invaders_Planner2;45;121
Space_Invaders_Planner2;46;121
Space_Invaders_Planner2;47;121
Space_Invaders_Planner2;48;121
Space_Invaders_Planner2;49;116
Space_Invaders_Planner2;50;116
Space_Invaders_Planner2;51;119
Space_Invaders_Planner2;52;119
Space_Invaders_Planner2;53;119
Space_Invaders_Planner2;54;119
Space_Invaders_Planner2;55;119
Space_Invaders_Planner2;56;119
Space_Invaders_Planner2;57;114
Space_Invaders_Planner2;58;114
Space_Invaders_Planner2;59;117
Space_Invaders_Planner2;60;117
Space_Invaders_Planner2;61;117
Space_Invaders_Planner2;62;117
Space_Invaders_Planner2;63;117
Space_Invaders_Planner2;64;117
Space_Invaders_Planner2;65;117
Space_Invaders_Planner2;66;112
Space_Invaders_Planner2;67;112
Space_Invaders_Planner2;68;115
Space_Invaders_Planner2;69;115
Space_Invaders_Planner2;70;115
Space_Invaders_Planner2;71;115
Space_Invaders_Planner2;72;115
Space_Invaders_Planner2;73;115
Space_Invaders_Planner2;74;110
Space_Invaders_Planner2;75;110
Space_Invaders_Planner2;76;113
Space_Invaders_Planner3;1;60
Space_Invaders_Planner3;2;63
Space_Invaders_Planner3;3;63
Space_Invaders_Planner3;4;63
Space_Invaders_Planner3;5;60
Space_Invaders_Planner3;6;58
Space_Invaders_Planner3;7;58
Space_Invaders_Planner3;8;61
Space_Invaders_Planner3;9;58
Space_Invaders_Planner3;10;58
Space_Invaders_Planner3;11;58
Space_Invaders_Planner3;12;58
Space_Invaders_Planner3;13;58
Space_Invaders_Planner3;14;58
Space_Invaders_Planner3;15;58
Space_Invaders_Planner3;16;58
Space_Invaders_Planner3;17;61
Space_Invaders_Planner3;18;61
Space_Invaders_Planner3;19;61
Space_Invaders_Planner3;20;61
Space_Invaders_Planner3;21;61
Space_Invaders_Planner3;22;61
Space_Invaders_Planner3;23;61
Space_Invaders_Planner3;24;61
Space_Invaders_Planner3;25;61
Space_Invaders_Planner3;26;61
Space_Invaders_Planner3;27;61
Space_Invaders_Planner3;28;58
Space_Invaders_Planner3;29;61
Space_Invaders_Planner3;30;61
Space_Invaders_Planner3;31;61
Space_Invaders_Planner3;32;61
Space_Invaders_Planner3;33;56
Space_Invaders_Planner3;34;56
Space_Invaders_Planner3;35;56
Space_Invaders_Planner3;36;56
Space_Invaders_Planner3;37;56
Space_Invaders_Planner3;38;59
Space_Invaders_Planner3;39;59
Space_Invaders_Planner3;40;54
Space_Invaders_Planner3;41;54
Space_Invaders_Planner3;42;52
Space_Invaders_Planner3;43;55
Space_Invaders_Planner3;44;55
Space_Invaders_Planner3;45;55
Space_Invaders_Planner3;46;55
Space_Invaders_Planner3;47;53
Space_Invaders_Planner3;48;53
Space_Invaders_Planner3;49;53
Space_Invaders_Planner3;50;53
